Bin Center,Delta Mean,Delta Std,subplot,variable,series
-54.44381198883057,0.31189167,0.4396089527086218,a,SST,2023
-37.03505516052246,0.24795216,0.38818543235143954,a,SST,2023
-25.1718111038208,0.21320264,0.48996088326754345,a,SST,2023
-14.850112342834473,0.16529323,0.5258783272104038,a,SST,2023
-4.057291269302372,0.22970094,0.6242501397777732,a,SST,2023
5.7762901782989475,0.38633004,0.6671191046144753,a,SST,2023
11.984255409240728,0.38870424,0.8382201552946015,a,SST,2023
16.343544006347656,0.5819613,1.0408554156113896,a,SST,2023
20.70984735488891,1.0848584,1.1057272918305223,a,SST,2023
27.029351139068602,1.7519473,1.0781130566284678,a,SST,2023
-54.44381198883057,0.047651112,0.4325330223598434,a,SST,composite
-37.03505516052246,0.1446043,0.4313101565682771,a,SST,composite
-25.1718111038208,0.20177893,0.43755770862824733,a,SST,composite
-14.850112342834473,0.15369935,0.4804026048356939,a,SST,composite
-4.057291269302372,0.19258374,0.5365553091343239,a,SST,composite
5.7762901782989475,0.2914703,0.5370083909189461,a,SST,composite
11.984255409240728,0.32442936,0.5789700328207918,a,SST,composite
16.343544006347656,0.4021601,0.6576385830409467,a,SST,composite
20.70984735488891,0.54599273,0.7699548453336466,a,SST,composite
27.029351139068602,0.50001013,0.8350227633796289,a,SST,composite
-54.44381198883057,0.05503159,0.09867874114111753,b,HCC,2023
-37.03505516052246,0.009190101,0.10197870402493626,b,HCC,2023
-25.1718111038208,0.0064711263,0.11415953360683538,b,HCC,2023
-14.850112342834473,0.01689228,0.11768337380281983,b,HCC,2023
-4.057291269302372,0.02419789,0.11998214443493986,b,HCC,2023
5.7762901782989475,0.024288306,0.11428718263223914,b,HCC,2023
11.984255409240728,0.024473801,0.09576952089666661,b,HCC,2023
16.343544006347656,0.042761084,0.08427767912889997,b,HCC,2023
20.70984735488891,0.052206464,0.06550486752640035,b,HCC,2023
27.029351139068602,0.014127659,0.051984325954095724,b,HCC,2023
-54.44381198883057,-0.0011705207,0.06991988971710922,b,HCC,composite
-37.03505516052246,0.0013526962,0.08142219621203503,b,HCC,composite
-25.1718111038208,0.0028240832,0.09148845561003582,b,HCC,composite
-14.850112342834473,0.018141203,0.09970947663950382,b,HCC,composite
-4.057291269302372,0.019412825,0.10271681351769674,b,HCC,composite
5.7762901782989475,0.01990934,0.1029294840093589,b,HCC,composite
11.984255409240728,0.023446333,0.09813370010621864,b,HCC,composite
16.343544006347656,0.034574237,0.09294684864372837,b,HCC,composite
20.70984735488891,0.034834538,0.08475874642963015,b,HCC,composite
27.029351139068602,0.005090681,0.059551329383262915,b,HCC,composite
-54.44381198883057,-0.023316516,0.048778611940325844,c,LCC,2023
-37.03505516052246,-0.023571087,0.0356754776234916,c,LCC,2023
-25.1718111038208,-0.022579663,0.04455409862055834,c,LCC,2023
-14.850112342834473,-0.003762836,0.05035370081966959,c,LCC,2023
-4.057291269302372,-0.00680167,0.056535571594106264,c,LCC,2023
5.7762901782989475,-0.011535509,0.05546633604603205,c,LCC,2023
11.984255409240728,-0.01788695,0.05208065666084396,c,LCC,2023
16.343544006347656,-0.02499742,0.05249369443385393,c,LCC,2023
20.70984735488891,-0.03184983,0.05631890683303419,c,LCC,2023
27.029351139068602,-0.054767977,0.0734321555802109,c,LCC,2023
-54.44381198883057,-0.00892294,0.03349865548988211,c,LCC,composite
-37.03505516052246,-0.006035932,0.03105238205070763,c,LCC,composite
-25.1718111038208,-0.002462815,0.034409040956092866,c,LCC,composite
-14.850112342834473,0.005737127,0.03688556938397784,c,LCC,composite
-4.057291269302372,0.0070256595,0.040151050991086054,c,LCC,composite
5.7762901782989475,0.003123868,0.038900712685126695,c,LCC,composite
11.984255409240728,-0.0006724543,0.03633276699668663,c,LCC,composite
16.343544006347656,-0.0038190407,0.03609517746389123,c,LCC,composite
20.70984735488891,-0.006754225,0.03836823325374325,c,LCC,composite
27.029351139068602,-0.0050455662,0.044264852240213065,c,LCC,composite
